graph_id,src,dst
36,425,1545
104,868,1588
235,979,1263
269,3195,1097
269,3195,1097
285,3195,1097
285,3195,1097
417,979,1263
460,979,1263
461,3195,1097
461,3195,1097
461,3195,1097
491,425,1545
491,425,1545
497,3195,1097
497,3195,1097
515,425,1545
541,979,1263
541,979,1263
565,425,1545
589,425,1545
589,425,1545
645,425,1545
645,425,1545
689,425,1545
689,425,1545
859,979,1263
883,979,1263
913,425,1545
913,425,1545
997,979,1263
1010,979,1263
1127,979,1263
1135,979,1263
1135,979,1263
1194,3195,1097
1194,3195,1097
1194,3195,1097
1194,3195,1097
1194,3195,1097
1194,3195,1097
1194,3195,1097
1194,3195,1097
1194,3195,1097
1194,3195,1097
1207,979,1263
1207,979,1263
1219,3195,1097
1219,3195,1097
1219,3195,1097
1219,3195,1097
1242,979,1263
1251,979,1263
1252,425,1545
1254,3195,1097
1254,3195,1097
1254,3195,1097
1254,3195,1097
1254,3195,1097
1266,425,1545
1332,3195,1097
1332,3195,1097
1332,3195,1097
1332,3195,1097
1365,425,1545
1365,425,1545
1390,425,1545
1403,425,1545
1442,979,1263
1452,425,1545
1452,425,1545
1458,979,1263
1458,979,1263
1463,425,1545
1467,3195,1097
1467,3195,1097
1467,3195,1097
1467,3195,1097
1478,979,1263
1478,979,1263
1499,3195,1097
1499,3195,1097
1499,3195,1097
1499,3195,1097
1499,3195,1097
1573,979,1263
1573,979,1263
1622,979,1263
1660,3195,1097
1660,3195,1097
1660,3195,1097
1660,3195,1097
1688,979,1263
1688,979,1263
1717,979,1263
1717,979,1263
1743,3195,1097
1743,3195,1097
1743,3195,1097
1743,3195,1097
1743,3195,1097
1743,3195,1097
1743,3195,1097
1743,3195,1097
1743,3195,1097
1743,3195,1097
1756,979,1263
1766,425,1545
1766,425,1545
1826,425,1545
1826,425,1545
1920,979,1263
1920,979,1263
1958,979,1263
1958,979,1263
1970,979,1263
1972,979,1263
1972,979,1263
2125,979,1263
2132,979,1263
2132,979,1263
2136,979,1263
2136,979,1263
2140,425,1545
2150,979,1263
2150,979,1263
2167,979,1263
2170,425,1545
2173,979,1263
2181,979,1263
2181,979,1263
2235,979,1263
2235,979,1263
2243,979,1263
2251,425,1545
2251,425,1545
2270,979,1263
2270,979,1263
2279,1069,1500
2279,1069,1500
2284,425,1545
2308,425,1545
2308,425,1545
2319,979,1263
2319,979,1263
2355,979,1263
2357,979,1263
2366,425,1545
2430,3195,1097
2430,3195,1097
2430,3195,1097
2430,3195,1097
2430,3195,1097
2430,3195,1097
2456,425,1545
2456,425,1545
2459,425,1545
2492,3195,1097
2492,3195,1097
2492,3195,1097
2492,3195,1097
2492,3195,1097
2492,3195,1097
2492,3195,1097
2492,3195,1097
2492,3195,1097
2492,3195,1097
2492,3195,1097
2492,3195,1097
2492,3195,1097
2497,425,1545
2497,425,1545
2524,979,1263
2579,979,1263
2584,979,1263
2598,979,1263
2598,979,1263
2654,979,1263
2664,425,1545
2664,425,1545
2743,425,1545
2743,425,1545
2781,979,1263
2781,979,1263
2806,979,1263
2806,979,1263
2846,425,1545
2846,425,1545
2848,425,1545
2917,425,1545
2917,425,1545
2988,979,1263
2988,979,1263
2992,979,1263
2995,979,1263
3035,979,1263
3035,979,1263
3069,425,1545
3073,979,1263
3073,979,1263
3099,979,1263
3099,979,1263
3115,979,1263
3115,979,1263
3162,425,1545
3162,425,1545
3173,979,1263
3173,979,1263
3252,979,1263
3255,425,1545
3255,425,1545
3259,425,1545
3259,425,1545
3282,979,1263
3282,979,1263
3306,979,1263
3306,979,1263
3327,425,1545
3328,979,1263
3335,979,1263
3335,979,1263
3343,979,1263
3343,979,1263
3345,979,1263
3345,979,1263
3397,425,1545
3404,3195,1097
3404,3195,1097
3404,3195,1097
3404,3195,1097
3404,3195,1097
3404,3195,1097
3404,3195,1097
3404,3195,1097
3404,3195,1097
3411,979,1263
3411,979,1263
3418,979,1263
3418,979,1263
3418,979,1263
3420,425,1545
3426,3195,1097
3426,3195,1097
3426,3195,1097
3426,3195,1097
3426,3195,1097
3426,3195,1097
3426,3195,1097
3426,3195,1097
3426,3195,1097
3426,3195,1097
3450,3195,1097
3450,3195,1097
3450,3195,1097
3450,3195,1097
3488,979,1263
3542,425,1545
3542,425,1545
3542,425,1545
3542,425,1545
3548,425,1545
3548,425,1545
3548,425,1545
3554,979,1263
3554,979,1263
3594,3195,1097
3594,3195,1097
3594,3195,1097
3594,3195,1097
3594,3195,1097
3594,3195,1097
3594,3195,1097
3594,3195,1097
3594,3195,1097
3594,3195,1097
3594,3195,1097
3594,3195,1097
3594,3195,1097
3594,3195,1097
3594,3195,1097
3599,979,1263
3599,979,1263
3604,425,1545
3606,979,1263
3615,425,1545
3615,425,1545
3615,425,1545
3639,425,1545
3639,425,1545
3652,425,1545
3652,425,1545
3665,979,1263
3665,979,1263
3683,979,1263
3685,425,1545
3685,425,1545
3699,979,1263
3699,979,1263
3700,3195,1097
3700,3195,1097
3700,3195,1097
3700,3195,1097
3700,3195,1097
3700,3195,1097
3700,3195,1097
3700,3195,1097
3700,3195,1097
3700,3195,1097
3704,979,1263
3704,979,1263
3707,425,1545
3714,425,1545
3738,979,1263
3738,979,1263
3782,425,1545
3783,979,1263
3783,979,1263
3783,979,1263
3790,979,1263
3828,425,1545
3828,425,1545
3828,425,1545
3839,3195,1097
3839,3195,1097
3839,3195,1097
3839,3195,1097
3839,3195,1097
3839,3195,1097
3839,3195,1097
3887,3195,1097
3887,3195,1097
3887,3195,1097
3887,3195,1097
3887,3195,1097
3887,3195,1097
3887,3195,1097
3887,3195,1097
3887,3195,1097
3887,3195,1097
3887,3195,1097
3892,425,1545
