graph_id,label,num_nodes
0,1,2340
1,0,2340
2,0,2342
3,1,2341
4,0,2342
5,0,2340
6,0,2342
7,0,2342
8,0,2342
9,1,2341
10,0,2340
11,1,2342
12,1,2340
13,1,2340
14,0,2340
15,0,2342
16,1,2341
17,0,2342
18,0,2341
19,0,2340
20,0,2341
21,0,2340
22,0,2340
23,0,2341
24,1,2340
25,0,2340
26,0,2341
27,0,2340
28,0,2341
29,0,2342
30,0,2342
31,0,2340
32,1,2340
33,0,2342
34,1,2341
35,0,2342
36,0,2340
37,0,2341
38,0,2341
39,0,2340
40,0,2340
41,0,2342
42,0,2340
43,1,2340
44,0,2342
45,1,2341
46,0,2342
47,0,2340
48,0,2342
49,0,2341
50,0,2342
51,0,2340
52,0,2342
53,0,2340
54,0,2342
55,0,2340
56,0,2342
57,0,2341
58,0,2340
59,0,2341
60,0,2340
61,0,2340
62,0,2340
63,0,2342
64,0,2340
65,0,2340
66,0,2340
67,0,2342
68,0,2340
69,0,2342
70,0,2340
71,0,2340
72,0,2342
73,0,2340
74,0,2342
75,0,2340
76,0,2341
77,0,2341
78,0,2342
79,0,2340
80,1,2342
81,0,2340
82,0,2340
83,0,2340
84,0,2340
85,0,2342
86,0,2340
87,0,2340
88,0,2342
89,0,2342
90,0,2341
91,0,2340
92,0,2340
93,0,2342
94,0,2340
95,0,2340
96,0,2340
97,0,2340
98,0,2342
99,0,2342
100,1,2340
101,1,2340
102,0,2341
103,0,2342
104,0,2340
105,0,2340
106,0,2340
107,1,2341
108,0,2340
109,0,2340
110,0,2340
111,0,2340
112,0,2340
113,1,2342
114,0,2340
115,0,2342
116,0,2342
117,1,2342
118,0,2342
119,0,2340
120,0,2342
121,0,2341
122,0,2342
123,1,2341
124,0,2342
125,0,2342
126,0,2340
127,0,2342
128,0,2342
129,0,2340
130,0,2342
131,0,2340
132,0,2342
133,0,2340
134,0,2341
135,0,2341
136,0,2342
137,0,2341
138,0,2340
139,0,2341
140,0,2340
141,0,2340
142,0,2341
143,0,2340
144,1,2342
145,0,2340
146,0,2341
147,0,2340
148,1,2341
149,0,2342
150,0,2342
151,0,2340
152,0,2340
153,1,2342
154,0,2340
155,0,2342
156,0,2342
157,0,2340
158,0,2341
159,0,2340
160,0,2342
161,0,2340
162,0,2342
163,0,2342
164,0,2340
165,0,2340
166,0,2342
167,0,2340
168,0,2341
169,0,2341
170,0,2340
171,0,2341
172,0,2340
173,0,2341
174,0,2340
175,0,2342
176,0,2342
177,0,2342
178,0,2340
179,0,2340
180,1,2341
181,0,2342
182,1,2340
183,0,2341
184,0,2342
185,0,2340
186,0,2340
187,0,2340
188,0,2340
189,1,2342
190,0,2341
191,0,2340
192,0,2340
193,0,2341
194,0,2340
195,0,2342
196,0,2340
197,0,2342
198,0,2340
199,0,2340
200,1,2342
201,1,2341
202,0,2341
203,0,2342
205,0,2340
206,0,2342
207,1,2342
208,0,2340
209,1,2341
210,0,2340
211,1,2341
212,1,2343
213,0,2342
214,0,2343
215,1,2343
216,1,2343
217,0,2341
218,0,2343
219,1,2343
220,0,2343
221,1,2343
222,1,2343
223,0,2343
224,0,2341
225,0,2342
226,0,2343
227,0,2341
228,0,2343
229,0,2341
230,1,2343
231,1,2343
232,0,2341
233,0,2341
234,0,2341
235,0,2341
236,1,2343
237,0,2341
238,0,2343
239,1,2341
240,0,2342
241,0,2341
242,0,2343
243,0,2341
244,0,2341
245,0,2343
246,0,2341
247,0,2341
248,0,2343
249,0,2343
250,0,2343
251,0,2341
252,0,2341
253,0,2342
254,0,2341
255,0,2341
256,0,2341
257,0,2341
258,0,2342
259,0,2341
260,0,2343
261,0,2343
262,0,2341
263,0,2343
264,1,2343
265,0,2343
266,0,2342
267,0,2342
268,0,2340
269,0,2340
270,1,2343
271,1,2341
272,0,2342
273,0,2343
274,0,2341
275,0,2341
276,0,2343
277,0,2342
278,0,2343
279,0,2341
280,0,2343
281,0,2341
282,0,2341
283,0,2343
284,0,2343
285,1,2340
286,0,2342
287,0,2341
288,0,2343
289,0,2341
290,0,2343
291,0,2341
292,0,2341
293,0,2343
294,0,2341
295,0,2342
296,0,2343
297,0,2343
298,0,2343
299,0,2341
300,0,2343
301,0,2342
302,0,2343
303,0,2342
304,0,2344
305,0,2344
306,0,2343
307,0,2342
308,0,2344
309,0,2342
310,0,2342
311,1,2344
312,0,2344
313,0,2342
314,1,2342
315,0,2342
316,0,2342
317,0,2342
318,1,2344
319,0,2343
320,0,2342
321,0,2343
322,0,2344
323,1,2344
324,0,2344
325,0,2344
326,0,2344
327,0,2343
328,0,2342
329,0,2344
330,0,2343
331,0,2344
332,0,2342
333,0,2343
334,0,2343
335,0,2343
